plot	feature	tissue	feature_ID	non_redundant_feature_ID	platform	training_q	female_1w	female_2w	female_4w	female_8w	male_1w	male_2w	male_4w	male_8w		
	METAB;LUNG;1-Methyladenosine	LUNG	1-Methyladenosine	NA	meta-reg	3.08E-02	-0.80862	-0.46505	-1.682	-1.43432	3.36896	0.88256	0.68742	-1.59786		
X	METAB;KIDNEY;1-Methylhistidine	KIDNEY	1-Methylhistidine	NA	metab-t-amines	1.67E-19	6.9396	6.05616	8	-0.91887	8	8	1.29976	-0.80947		
	METAB;LIVER;1-Methylhistidine	LIVER	1-Methylhistidine	NA	metab-t-amines	5.68E-09	0.12947	1.5665	2.71721	-1.71152	8	8	4.21468	2.88719		
	METAB;ADRNL;1-methyladenosine	ADRNL	1-methyladenosine	NA	metab-u-hilicpos	4.43E-02	1.78239	1.92587	-1.29153	-1.16649	-0.10554	-0.16062	0.24947	-1.88738		
	METAB;PLASMA;1-methyladenosine	PLASMA	1-methyladenosine	NA	metab-u-hilicpos	1.78E-02	3.20445	3.4976	0.94168	0.73118	1.25799	-0.33841	-1.19917	-1.56339		
	METAB;SKM-VL;1-methyladenosine	SKM-VL	1-methyladenosine	NA	metab-u-hilicpos	4.31E-02	0.94585	1.33135	-1.42392	-1.69525	1.7192	0.58167	1.0467	-0.99522		
	METAB;SPLEEN;1-methylguanosine	SPLEEN	1-methylguanosine	NA	metab-u-hilicpos	1.34E-02	0.50034	0.33043	1.70838	0.68855	2.28946	1.20846	0.08438	-2.98108		
	METAB;ADRNL;1-methylhistamine	ADRNL	1-methylhistamine	NA	metab-u-hilicpos	1.38E-03	-0.74608	-0.33293	0.15774	-1.49283	4.29337	4.35589	4.14183	-0.4937		
	METAB;SKM-GN;1-methylhistamine	SKM-GN	1-methylhistamine	NA	metab-u-hilicpos	8.31E-05	-2.8739	-0.01419	0.48939	-0.3822	-1.6528	-1.14238	4.91592	1.28179		
	METAB;SKM-VL;1-methylhistamine	SKM-VL	1-methylhistamine	NA	metab-u-hilicpos	3.79E-02	1.86573	0.22774	-1.8971	-2.66829	-0.25384	-0.54076	-0.7219	-0.87805		
	METAB;COLON;1-methylnicotinamide	COLON	1-methylnicotinamide	NA	metab-u-hilicpos	1.91E-02	-1.04427	1.3553	-1.61764	-2.02636	2.23254	1.48584	0.15352	-1.16274		
	METAB;CORTEX;1-methylnicotinamide	CORTEX	1-methylnicotinamide	NA	metab-u-hilicpos	1.38E-03	0.9111	-1.05198	-1.87159	-5.52263	-0.57951	-0.64224	-2.12178	-0.69725		
	METAB;HYPOTH;1-methylnicotinamide	HYPOTH	1-methylnicotinamide	NA	metab-u-hilicpos	5.22E-03	1.99413	1.28592	-0.12837	-2.77626	-3.18765	-2.31474	-3.33117	-2.12943		
X	METAB;LIVER;1-methylnicotinamide	LIVER	1-methylnicotinamide	NA	metab-u-hilicpos	1.01E-04	-0.10469	-0.76055	3.67917	4.78141	0.65217	-1.27851	0.57	2.3089		
	METAB;SKM-GN;1-methylnicotinamide	SKM-GN	1-methylnicotinamide	NA	metab-u-hilicpos	1.38E-07	1.9012	3.96098	4.17046	4.62967	1.65934	1.75862	4.16104	8		
	METAB;SKM-VL;1-methylnicotinamide	SKM-VL	1-methylnicotinamide	NA	metab-u-hilicpos	1.57E-04	1.64135	3.72196	2.44197	5.38044	1.0831	0.88788	2.01362	4.57412		
	"METAB;PLASMA;11,12-EpETrE"	PLASMA	"11,12-EpETrE"	NA	metab-t-oxylipneg	1.35E-02	2.0857	-1.14975	-3.05735	0.80192	0.99101	1.11269	0.40528	1.74393		
	"METAB;WAT-SC;14,15-EpETrE"	WAT-SC	"14,15-EpETrE"	NA	metab-t-oxylipneg	4.61E-02	2.77472	3.94561	2.63474	4.1885	0.48967	-0.41186	-1.06458	0.00546		
	METAB;COLON;2'-O-methyladenosine	COLON	2'-O-methyladenosine	NA	metab-u-hilicpos	3.60E-02	-1.04041	-2.57676	-0.17645	0.09796	2.23781	0.96579	2.98531	3.24124		
	METAB;HIPPOC;2'-O-methyladenosine	HIPPOC	2'-O-methyladenosine	NA	metab-u-hilicpos	2.20E-02	-2.59624	-2.40211	0.0344	-0.70769	-2.41251	-3.63098	-2.31594	-0.41764		
	METAB;BAT;2'-deoxyadenosine	BAT	2'-deoxyadenosine	NA	metab-u-hilicpos	4.03E-04	2.70839	2.32981	-1.4824	-0.92101	-0.10879	3.08521	1.76821	-1.02691		
	METAB;CORTEX;2'-deoxyadenosine	CORTEX	2'-deoxyadenosine	NA	metab-u-hilicpos	1.83E-02	-1.77067	-2.19235	-2.37352	-0.33971	-1.7622	-2.1306	-3.97313	-0.4639		
	METAB;HIPPOC;2'-deoxyadenosine	HIPPOC	2'-deoxyadenosine	NA	metab-u-hilicpos	3.03E-02	-2.8544	-2.45672	0.30473	-0.95961	-1.7746	-3.31316	-2.69829	-1.13332		
	METAB;LIVER;2'-deoxyadenosine	LIVER	2'-deoxyadenosine	NA	metab-u-hilicpos	3.17E-04	0.85891	0.97266	-3.49639	-3.1185	1.2553	0.64739	1.73052	-1.91376		
	METAB;LUNG;2'-deoxyadenosine	LUNG	2'-deoxyadenosine	NA	metab-u-hilicpos	3.29E-03	0.56649	0.30453	-3.6192	0.70697	0.50951	1.42815	1.15038	-1.8391		
	METAB;SMLINT;2'-deoxyadenosine	SMLINT	2'-deoxyadenosine	NA	metab-u-hilicpos	1.02E-02	0.03768	-0.52996	-3.89358	-0.81647	-0.68598	-0.07636	1.53063	-1.72899		
	METAB;SPLEEN;2'-deoxyadenosine	SPLEEN	2'-deoxyadenosine	NA	metab-u-hilicpos	8.39E-04	2.62446	2.10838	-2.80391	0.85615	1.53318	2.82599	0.27913	-0.1048		
	METAB;ADRNL;2'-deoxycytidine	ADRNL	2'-deoxycytidine	NA	metab-u-hilicpos	4.33E-05	2.90068	4.39141	-1.03543	-0.9387	2.12283	2.32507	1.6555	-1.5416		
	METAB;COLON;2'-deoxycytidine	COLON	2'-deoxycytidine	NA	metab-u-hilicpos	1.98E-02	1.11961	2.02956	-1.1864	-0.20207	2.55655	2.14084	0.36542	-0.7993		
	METAB;CORTEX;2'-deoxycytidine	CORTEX	2'-deoxycytidine	NA	metab-u-hilicpos	3.93E-03	-0.16709	-0.59058	-3.99822	-1.29692	2.2207	1.5158	-0.37861	-1.2663		
	METAB;HYPOTH;2'-deoxycytidine	HYPOTH	2'-deoxycytidine	NA	metab-u-hilicpos	6.21E-05	-0.52953	-0.29767	-0.05504	1.72246	5.40217	6.41407	8	1.47618		
	METAB;SPLEEN;2'-deoxycytidine	SPLEEN	2'-deoxycytidine	NA	metab-u-hilicpos	2.98E-02	1.02013	1.87118	0.33683	0.80425	3.02783	3.65432	2.74008	0.17342		
	METAB;BAT;2-Hydroxyglutarate	BAT	2-Hydroxyglutarate	NA	metab-t-tca	2.41E-03	NA	NA	NA	NA	NA	NA	NA	NA		
	METAB;LUNG;2-Hydroxyglutarate	LUNG	2-Hydroxyglutarate	NA	metab-t-tca	4.91E-07	6.29054	4.89889	5.37954	1.89364	3.74278	3.14779	-1.84796	0.2968		
	METAB;HEART;2-acetylpyrrolidine	HEART	2-acetylpyrrolidine	NA	metab-u-rppos	4.36E-03	-0.73758	0.27885	0.18818	-0.81207	-4.60146	-2.13428	-4.82311	-0.70724		
	METAB;HIPPOC;2-acetylpyrrolidine	HIPPOC	2-acetylpyrrolidine	NA	metab-u-rppos	4.40E-06	-0.704	1.08463	0.18145	-1.52567	-8	-5.75233	-8	-2.94182		
	METAB;LIVER;2-acetylpyrrolidine	LIVER	2-acetylpyrrolidine	NA	metab-u-rppos	1.61E-02	-0.42197	0.54682	0.60676	-0.75935	-4.23959	-1.88547	-3.72377	-0.40796		
	METAB;ADRNL;2-aminoheptanoate	ADRNL	2-aminoheptanoate	NA	metab-u-hilicpos	6.51E-04	3.2257	3.70746	-0.50795	0.73876	-1.7541	0.3763	1.36424	-1.93937		
	METAB;HEART;2-aminoheptanoate	HEART	2-aminoheptanoate	NA	metab-u-hilicpos	1.69E-04	2.46259	2.16207	-1.84183	0.45616	2.01459	2.62092	4.1214	-1.1457		
	METAB;BAT;2-aminoisobutyrate	BAT	2-aminoisobutyrate	NA	metab-u-hilicpos	5.87E-03	0.80902	1.1621	-1.45332	-1.31442	1.3752	0.99574	2.15416	-2.51128		
	METAB;HEART;2-aminoisobutyrate	HEART	2-aminoisobutyrate	NA	metab-u-hilicpos	4.66E-02	1.71073	1.45867	-1.81212	-1.1301	1.23875	1.82482	0.09071	-0.12722		
	METAB;WAT-SC;2-aminoisobutyrate	WAT-SC	2-aminoisobutyrate	NA	metab-u-hilicpos	1.07E-02	1.14941	1.72497	-1.67353	-1.85459	0.70662	0.65914	0.7049	-2.01484		
	METAB;LUNG;2-deoxyglucose	LUNG	2-deoxyglucose	NA	metab-u-rppos	2.89E-03	0.97803	0.98429	2.42722	-0.7518	2.60477	-0.43606	4.67649	1.02597		
	METAB;HEART;2-hydroxy-3-methylbutyrate	HEART	2-hydroxy-3-methylbutyrate	NA	metab-u-rpneg	1.45E-02	-1.59609	-1.11463	-0.59235	1.40733	-1.68627	-2.67726	-1.69377	1.28904		
	METAB;HEART;2-hydroxybutyrate	HEART	2-hydroxybutyrate	NA	metab-u-rpneg	3.23E-02	-1.21214	-0.64199	-2.87474	-0.76468	-2.73209	-3.1604	-3.8237	-2.26391		
	METAB;HEART;2-phosphoglycerate+3-phosphoglycerate	HEART	2-phosphoglycerate+3-phosphoglycerate	NA	metab-u-ionpneg	5.92E-03	1.62879	-0.37739	2.03574	-0.58657	2.93893	3.43736	3.62373	0.47806		
	METAB;BAT;2-piperidinone	BAT	2-piperidinone	NA	metab-u-rppos	3.59E-03	-3.70339	-1.7455	-4.06553	-2.12955	0.77632	-1.44719	-0.84427	-3.27161		
	METAB;KIDNEY;20-HETE	KIDNEY	20-HETE	NA	metab-t-oxylipneg	3.46E-02	-0.19763	0.7712	4.0189	0.24725	0.44897	1.57776	0.63739	0.13643		
	METAB;ADRNL;21-deoxycortisol	ADRNL	21-deoxycortisol	NA	metab-u-hilicpos	1.32E-02	2.78019	3.64532	2.93883	2.78323	0.17994	2.13814	2.9794	0.28195		
	METAB;COLON;21-deoxycortisol	COLON	21-deoxycortisol	NA	metab-u-hilicpos	3.75E-03	4.20234	1.82774	1.93517	2.48325	3.80655	2.86818	2.62147	2.38878		
	METAB;HIPPOC;21-deoxycortisol	HIPPOC	21-deoxycortisol	NA	metab-u-hilicpos	1.40E-02	0.64754	0.58567	0.89194	-2.0283	3.94078	2.78773	4.00003	2.48491		
	METAB;KIDNEY;21-deoxycortisol	KIDNEY	21-deoxycortisol	NA	metab-u-hilicpos	4.73E-02	-0.12221	0.15687	0.36277	-1.36469	4.38506	2.54334	1.92271	1.42456		
	METAB;SKM-GN;21-deoxycortisol	SKM-GN	21-deoxycortisol	NA	metab-u-hilicpos	2.05E-02	0.69631	1.50859	1.32428	0.64219	4.87497	3.84094	2.96396	1.84967		
	METAB;SKM-GN;3-(1-pyrazolyl)-alanine_feature1	SKM-GN	3-(1-pyrazolyl)-alanine_feature1	NA	metab-u-lrppos	1.31E-03	0.66544	-0.25573	-1.51271	0.44393	0.74938	-0.7088	-4.64376	1.56031		
	METAB;HEART;3-Methyl-2-oxovaleric acid	HEART	3-Methyl-2-oxovaleric acid	NA	meta-reg	1.69E-05	3.18702	5.11783	0.81655	1.53644	-0.4968	2.22385	-0.11538	0.01988		
	METAB;SKM-GN;3-Methyl-2-oxovaleric acid	SKM-GN	3-Methyl-2-oxovaleric acid	NA	meta-reg	7.97E-04	-2.18388	-1.27365	-3.58425	-0.96611	1.51312	0.68589	1.31631	1.60053		
	METAB;KIDNEY;3-Methylhistidine	KIDNEY	3-Methylhistidine	NA	metab-t-amines	6.56E-10	-3.02047	-5.58656	-0.86549	0.39894	-4.68959	-6.21536	2.17747	-0.28076		
	METAB;PLASMA;3-Methylhistidine	PLASMA	3-Methylhistidine	NA	meta-reg	4.70E-06	4.11545	3.42568	2.62338	0.71031	1.67619	2.09164	2.19385	-0.12641		
	METAB;SKM-GN;3-Methylhistidine	SKM-GN	3-Methylhistidine	NA	meta-reg	1.76E-04	-0.35362	-1.58675	-4.05281	-1.8619	1.82549	0.35967	-0.01314	-3.40754		
	METAB;BAT;3-hydroxybutyrate	BAT	3-hydroxybutyrate	NA	metab-u-rpneg	1.38E-02	0.59449	1.86644	-0.66742	0.11932	1.63311	1.2459	2.60098	-2.27386		
	METAB;BAT;3-indolepropionate	BAT	3-indolepropionate	NA	metab-u-rppos	1.72E-02	0.94013	2.0592	0.38123	-1.23347	2.38509	2.96584	1.62411	3.5512		
	METAB;HEART;3-indolepropionate	HEART	3-indolepropionate	NA	metab-u-rppos	1.79E-02	0.89459	2.29962	-0.53288	-0.87345	0.08123	0.64109	-0.55889	2.77463		
	METAB;KIDNEY;3-indolepropionate	KIDNEY	3-indolepropionate	NA	metab-u-rppos	1.11E-02	2.68396	1.68434	1.1898	0.59457	2.59104	3.06806	0.91155	4.65257		
	METAB;LUNG;3-indolepropionate	LUNG	3-indolepropionate	NA	metab-u-rppos	1.63E-03	2.16844	2.71884	0.52091	-0.57477	1.91362	2.2229	1.6929	5.49688		
	METAB;WAT-SC;3-indolepropionate	WAT-SC	3-indolepropionate	NA	metab-u-rppos	4.98E-02	0.24709	1.47409	1.41525	0.12411	2.05059	2.34142	1.55513	4.34877		
	METAB;COLON;3-methoxytyramine	COLON	3-methoxytyramine	NA	metab-u-hilicpos	9.26E-03	-3.09713	-3.15934	-2.73382	-1.29449	0.73582	-0.36256	3.38898	0.47807		
	METAB;PLASMA;3-methoxytyrosine	PLASMA	3-methoxytyrosine	NA	metab-u-rppos	1.70E-02	1.6718	0.54583	2.98101	3.88311	-0.4629	-1.40252	0.32959	1.13785		
	METAB;BAT;3-methyl-2-oxovalerate	BAT	3-methyl-2-oxovalerate	NA	metab-u-rpneg	6.44E-03	3.09588	3.95146	2.0562	1.69547	2.43919	1.57796	1.02827	-1.66606		
	METAB;SKM-GN;3-methylhistamine	SKM-GN	3-methylhistamine	NA	metab-u-hilicpos	5.75E-05	2.99247	1.33433	-0.47652	0.05884	4.61885	4.36074	0.55832	-1.19552		
	METAB;ADRNL;3-methylhistidine	ADRNL	3-methylhistidine	NA	metab-u-hilicpos	3.50E-03	2.0429	1.54331	-0.60968	-0.94482	2.25359	2.23496	2.08617	-1.72819		
	METAB;HYPOTH;3-methylhistidine	HYPOTH	3-methylhistidine	NA	metab-u-hilicpos	9.69E-03	2.69518	1.85711	1.57682	1.51902	2.19237	3.98626	3.94848	0.30041		
	METAB;OVARY;3-methylhistidine	OVARY	3-methylhistidine	NA	metab-u-hilicpos	2.29E-02	NA	NA	NA	NA	NA	NA	NA	NA		
	METAB;KIDNEY;3-methylxanthine	KIDNEY	3-methylxanthine	NA	metab-u-rpneg	4.33E-02	-2.18339	-2.88609	0.58662	0.30338	0.95557	-0.3232	-0.7268	-0.98758		
	METAB;KIDNEY;4-acetamidobutanoate	KIDNEY	4-acetamidobutanoate	NA	metab-u-hilicpos	6.36E-04	2.10507	0.66312	-0.6664	-0.92081	3.68905	1.72082	-0.12653	-2.30812		
	METAB;PLASMA;4-acetamidobutanoate	PLASMA	4-acetamidobutanoate	NA	metab-u-hilicpos	2.91E-03	0.39036	-0.77107	-2.76009	-2.19964	-0.2311	-2.75429	-1.35733	-4.21177		
	METAB;COLON;4-guanidinobutanoate	COLON	4-guanidinobutanoate	NA	metab-u-hilicpos	3.52E-02	-1.46228	-2.35571	-1.79528	1.72451	-0.31423	-0.01294	-0.42358	1.40469		
	METAB;HEART;4-guanidinobutanoate	HEART	4-guanidinobutanoate	NA	metab-u-hilicpos	1.13E-02	-1.7357	-3.02105	-1.23902	0.07211	-1.65121	-2.30641	-2.24033	0.99817		
	METAB;LIVER;4-guanidinobutanoate	LIVER	4-guanidinobutanoate	NA	metab-u-hilicpos	9.02E-03	-2.22232	-1.71537	0.25147	1.90888	0.54775	-0.17501	-0.50612	2.42801		
	METAB;SKM-GN;4-guanidinobutanoate	SKM-GN	4-guanidinobutanoate	NA	metab-u-hilicpos	1.42E-04	1.23731	-2.02508	-3.50257	1.17598	-1.56343	-2.34603	-3.39552	0.94137		
	METAB;SKM-VL;4-guanidinobutanoate	SKM-VL	4-guanidinobutanoate	NA	metab-u-hilicpos	8.79E-03	-0.3614	-1.3508	-4.3492	-0.04749	0.1326	-0.43067	-1.24096	1.5099		
	METAB;PLASMA;4-pyridoxate	PLASMA	4-pyridoxate	NA	metab-u-hilicpos	3.66E-02	-2.81358	-1.63938	-0.2669	-0.67314	-0.82133	-2.62223	-2.07745	-3.29441		
	METAB;BAT;5'-methylthioadenosine	BAT	5'-methylthioadenosine	NA	metab-u-rppos	8.28E-03	-5.62847	-5.64789	-4.39244	-3.01883	-0.97293	-0.75506	-0.22004	-1.36485		
	METAB;HIPPOC;5'-methylthioadenosine	HIPPOC	5'-methylthioadenosine	NA	metab-u-rppos	2.40E-04	-1.09974	-1.05685	-1.12168	-0.84795	-4.26413	-5.35236	-4.22017	1.35661		
	METAB;KIDNEY;5'-methylthioadenosine	KIDNEY	5'-methylthioadenosine	NA	metab-u-rppos	2.44E-02	-1.9112	-3.30946	-0.243	1.05403	-0.45978	-1.11113	-0.14779	1.05546		
	METAB;LUNG;5'-methylthioadenosine	LUNG	5'-methylthioadenosine	NA	metab-u-rppos	5.47E-05	-3.44881	-5.02136	-1.86415	-0.58304	-1.34822	-4.79943	-1.05944	0.51675		
	METAB;PLASMA;5'-methylthioadenosine	PLASMA	5'-methylthioadenosine	NA	metab-u-rppos	1.47E-02	-3.18535	-1.88841	-0.94034	-0.89257	-3.32281	-2.66012	-0.19363	-2.37383		
	"METAB;PLASMA;5-henicosylbenzene-1,3-diol_feature1"	PLASMA	"5-henicosylbenzene-1,3-diol_feature1"	NA	metab-u-lrppos	3.84E-04	0.03822	2.05792	2.65068	1.33031	-1.42141	-1.10053	-4.24256	2.07745		
	METAB;HEART;5-hydroxy-L-tryptophan	HEART	5-hydroxy-L-tryptophan	NA	metab-u-rppos	1.95E-04	0.62965	2.1278	0.21732	1.38138	-5.02209	-2.58	-3.87772	1.54477		
	METAB;CORTEX;5-hydroxytryptophol	CORTEX	5-hydroxytryptophol	NA	metab-u-hilicpos	6.43E-03	2.60392	1.62142	3.71964	1.21189	1.51658	1.45414	2.64176	-1.14653		
	METAB;SPLEEN;5-hydroxytryptophol	SPLEEN	5-hydroxytryptophol	NA	metab-u-hilicpos	2.26E-02	-2.53925	-0.67905	-1.079	-0.16316	-2.48637	-4.45548	-2.54596	-2.07504		
	METAB;ADRNL;5-methylcytidine	ADRNL	5-methylcytidine	NA	metab-u-hilicpos	2.35E-03	1.6531	3.38033	-0.91624	-1.15214	1.38705	2.01653	1.63876	-1.0588		
	METAB;HYPOTH;5-methylcytidine	HYPOTH	5-methylcytidine	NA	metab-u-hilicpos	4.01E-06	-0.77404	-1.07054	0.04463	1.57591	7.04769	6.44464	8	0.96604		
	METAB;SKM-GN;5-methylcytidine	SKM-GN	5-methylcytidine	NA	metab-u-hilicpos	1.06E-02	0.82873	0.85986	-0.45354	-1.20897	2.63176	1.5483	0.16932	-2.52935		
	METAB;ADRNL;5-methylcytosine	ADRNL	5-methylcytosine	NA	metab-u-hilicpos	1.43E-02	2.51405	1.42925	1.2168	2.40342	0.87977	-0.15245	3.66354	2.75694		
	METAB;COLON;5-methylcytosine	COLON	5-methylcytosine	NA	metab-u-hilicpos	1.80E-02	0.76112	0.31082	0.703	2.01287	3.29403	2.30681	4.63664	4.12833		
	METAB;CORTEX;5-methylcytosine	CORTEX	5-methylcytosine	NA	metab-u-hilicpos	1.94E-03	2.88477	1.01334	1.1566	3.33295	2.2079	1.43424	3.66769	4.74572		
	METAB;HEART;5-methylcytosine	HEART	5-methylcytosine	NA	metab-u-hilicpos	1.85E-03	1.20452	0.07617	-1.0031	1.19563	0.1596	1.45388	0.85588	5.53941		
	METAB;HIPPOC;5-methylcytosine	HIPPOC	5-methylcytosine	NA	metab-u-hilicpos	1.94E-02	0.91259	-0.67984	1.27664	1.67531	1.12054	-0.17888	3.14166	3.65454		
	METAB;HYPOTH;5-methylcytosine	HYPOTH	5-methylcytosine	NA	metab-u-hilicpos	2.74E-05	-0.89199	-1.11799	-0.10724	1.23492	6.68951	6.40229	8	1.48107		
	METAB;LUNG;5-methylcytosine	LUNG	5-methylcytosine	NA	metab-u-hilicpos	1.72E-03	-2.27668	-1.16172	-0.60407	1.7928	0.8309	-0.26069	3.26821	3.38433		
	METAB;PLASMA;5-methylcytosine	PLASMA	5-methylcytosine	NA	metab-u-hilicpos	1.36E-06	-2.75552	-3.02046	0.29461	2.08468	-0.45972	-1.99783	3.52091	4.09211		
	METAB;SMLINT;5-methylcytosine	SMLINT	5-methylcytosine	NA	metab-u-hilicpos	3.74E-03	-0.36664	0.21792	2.03378	2.79912	0.45932	0.7185	3.58368	3.33438		
	METAB;SPLEEN;5-methylcytosine	SPLEEN	5-methylcytosine	NA	metab-u-hilicpos	1.81E-03	1.44395	1.37998	1.07604	3.68447	2.87078	2.36422	4.63506	4.58085		
	METAB;TESTES;5-methylcytosine	TESTES	5-methylcytosine	NA	metab-u-hilicpos	9.85E-04	NA	NA	NA	NA	NA	NA	NA	NA		
	METAB;VENACV;5-methylcytosine	VENACV	5-methylcytosine	NA	metab-u-hilicpos	8.85E-03	NA	NA	NA	NA	NA	NA	NA	NA		
	METAB;KIDNEY;6-phosphogluconate	KIDNEY	6-phosphogluconate	NA	metab-u-ionpneg	3.09E-02	3.20915	1.91452	-0.29582	-0.32179	0.386	2.16924	0.13937	0.86291		
	METAB;LIVER;6-phosphogluconate	LIVER	6-phosphogluconate	NA	metab-u-ionpneg	1.24E-02	1.68423	-0.17191	3.10004	3.577	1.86926	-0.69373	1.2226	0.49945		
	METAB;ADRNL;7-methylguanine	ADRNL	7-methylguanine	NA	metab-u-hilicpos	8.13E-04	3.1928	4.48061	0.63329	0.3118	-0.0573	1.74739	2.29901	-1.23898		
