plot	feature_ID	N tissues differential																					
X	trimethylamine-N-oxide	16																					
X	N-methylproline	14																					
X	ala-ala	13																					
X	5-methylcytosine	12																					
X	ectoine	12																					
X	C3-DC carnitine	11																					
X	creatinine	11																					
X	N4-acetylcytidine	10																					
X	beta-guanidinopropionate	10																					
X	hypotaurine	10																					
X	methylthioadenosine	10																					
X	PE(40:4)>PE(18:0_22:4)_feature2	10																					
X	beta-alanine	9																					
X	homoarginine	9																					
X	Car(8:1)	9																					
X	CAR(4:0)	9																					
X	Choline	9																					
X	LPC(14:0)	9																					
X	LPC(16:1)	9																					
X	PE(O-40:5)>PE(O-18:1/22:4)_feature4	8																					
X	PE(O-40:6)>PE(O-18:1/22:5)_feature5	8																					
X	N6-acetyllysine	8																					
X	cytidine	8																					
X	glutamine	8																					
X	xanthosine	8																					
X	C34:3 PC plasmalogen	8																					
X	C36:2 PS plasmalogen	8																					
X	acisoga	8																					
X	PE(38:3)>PE(18:0_20:3)_feature3	8																					
	N-acetyltryptophan	7																					
	C16-OH carnitine	7																					
	C22:6 LPE	7																					
	C24:1 ceramide (d18:1)	7																					
	C34:2 PE	7																					
	C38:6 PE	7																					
	"N6,N6-dimethyllysine"	7																					
	biliverdin	7																					
	cyclohexylamine	7																					
	pro-gly	7																					
	2'-deoxyadenosine	7																					
	C18:0 LPE B	7																					
	C22:4 LPC	7																					
	PC(40:5)_feature4	7																					
	C18:2 LPC	7																					
	CAR(5:0)	7																					
	Cysteine	7																					
	CAR(8:0)	7																					
	PE(40:5)>PE(18:0_22:5)_feature4	7																					
	C20:1 LPC	7																					
	PE(O-36:3)>PE(O-18:1/18:2)_feature6	7																					
	C18:2 LPE	7																					
	Tryptophan	7																					
	Hippuric acid	7																					
	C38:7 PC plasmalogen	7																					
	Glycocholic acid	7																					
	xanthine	6																					
	PC(36:2)	6																					
	N-acetylornithine	6																					
	glycohyocholate	6																					
	PC(36:4)_feature2	6																					
	CAR(14:1)	6																					
	GMP	6																					
	N-acetylserotonin	6																					
	N6-methyllysine	6																					
	3-methylhistidine	6																					
	7-methylguanine	6																					
	C16:1 LPC	6																					
	C22:0 SM	6																					
	C36:5 PE plasmalogen	6																					
	C40:6 PE	6																					
	N-acetylputrescine	6																					
	N-alpha-acetylarginine	6																					
	N-carbamoyl-beta-alanine	6																					
	citrulline	6																					
	guanidinoacetate	6																					
	histidine	6																					
	lysine	6																					
	methyl N-methylanthranilate	6																					
	methylguanidine	6																					
	pipecolate	6																					
	serine	6																					
	Adenosine	6																					
	Anserine	6																					
	C18:3 LPC	6																					
	ursodeoxycholate	6																					
	CAR(14:2)	6																					
	PC(38:4)>PC(18:0_20:4)_M+H2CO2_feature4	6																					
	PE(O-40:6)>PE(O-18:2/22:4)_feature2	6																					
	PC(36:5)>PC(16:0_20:5)_M+H2CO2_feature3	6																					
	PC(40:4)_feature2	6																					
	PE(40:6)>PE(18:0_22:6)_feature2	6																					
